osu file format v14

[General]
AudioFilename: kartrider.mp3
AudioLeadIn: 0
PreviewTime: 8624
Countdown: 1
SampleSet: Soft
StackLeniency: 0.7
Mode: 3
LetterboxInBreaks: 1
SpecialStyle: 0
WidescreenStoryboard: 1

[Editor]
Bookmarks: 14942
DistanceSpacing: 0.8
BeatDivisor: 16
GridSize: 32
TimelineZoom: 2.799999

[Metadata]
Title:KartRider
TitleUnicode:KartRider
Artist:Nexon
ArtistUnicode:Nexon
Creator:BeoMu
Version:Teleport's 9K
Source:CrazyRacing KartRider
Tags:
BeatmapID:779461
BeatmapSetID:353753

[Difficulty]
HPDrainRate:10
CircleSize:9
OverallDifficulty:0
ApproachRate:5
SliderMultiplier:1.4
SliderTickRate:1

[Events]
//Background and Video events
0,0,"donxon.png",0,0
//Break Periods
//Storyboard Layer 0 (Background)
//Storyboard Layer 1 (Fail)
//Storyboard Layer 2 (Pass)
//Storyboard Layer 3 (Foreground)
//Storyboard Sound Samples

[TimingPoints]
1721,445.368171021378,4,2,0,70,1,0
8624,-100,4,2,0,80,0,1
11296,-100,4,2,0,60,0,0


[HitObjects]
486,192,1721,5,0,0:0:0:0:
25,192,1721,1,0,0:0:0:0:
369,192,2389,1,0,0:0:0:0:
142,192,2389,1,0,0:0:0:0:
483,192,2611,1,0,0:0:0:0:
28,192,2611,1,0,0:0:0:0:
426,192,3224,1,0,0:0:0:0:
85,192,3224,1,0,0:0:0:0:
199,192,3446,1,0,0:0:0:0:
483,192,3446,1,0,0:0:0:0:
142,192,3669,1,0,0:0:0:0:
426,192,3669,1,0,0:0:0:0:
85,192,3892,1,0,0:0:0:0:
369,192,3892,1,0,0:0:0:0:
28,192,4114,1,0,0:0:0:0:
312,192,4114,1,0,0:0:0:0:
483,192,4337,1,0,0:0:0:0:
142,192,4337,1,0,0:0:0:0:
369,192,4560,1,0,0:0:0:0:
28,192,4560,1,0,0:0:0:0:
483,192,5005,1,0,0:0:0:0:
28,192,5005,1,0,0:0:0:0:
483,192,5089,1,0,0:0:0:0:
28,192,5089,1,0,0:0:0:0:
483,192,5172,1,0,0:0:0:0:
28,192,5172,1,0,0:0:0:0:
312,192,5812,1,0,0:0:0:0:
199,192,5812,1,0,0:0:0:0:
369,192,6035,1,0,0:0:0:0:
142,192,6035,1,0,0:0:0:0:
483,192,6675,1,0,0:0:0:0:
28,192,6675,1,0,0:0:0:0:
199,192,6898,1,0,0:0:0:0:
312,192,7009,1,0,0:0:0:0:
199,192,7121,1,0,0:0:0:0:
312,192,7232,1,0,0:0:0:0:
483,192,7399,1,0,0:0:0:0:
426,192,7566,1,0,0:0:0:0:
369,192,7789,1,0,0:0:0:0:
28,192,8624,1,0,0:0:0:0:
256,192,8624,1,0,0:0:0:0:
483,192,8624,1,0,0:0:0:0:
28,192,9264,1,0,0:0:0:0:
483,192,9264,1,0,0:0:0:0:
28,192,9487,1,0,0:0:0:0:
483,192,9487,1,0,0:0:0:0:
199,192,10155,1,0,0:0:0:0:
312,192,10155,1,0,0:0:0:0:
369,192,10377,1,0,0:0:0:0:
142,192,10377,1,0,0:0:0:0:
85,192,10572,1,0,0:0:0:0:
426,192,10572,1,0,0:0:0:0:
28,192,10767,1,0,0:0:0:0:
483,192,10767,1,0,0:0:0:0:
256,192,10990,1,0,0:0:0:0:
483,192,11240,1,0,0:0:0:0:
28,192,11240,1,0,0:0:0:0:
483,192,11407,1,0,0:0:0:0:
28,192,11407,1,0,0:0:0:0:
256,192,11853,1,0,0:0:0:0:
256,192,11964,1,0,0:0:0:0:
256,192,12047,1,0,0:0:0:0:
312,192,12688,1,0,0:0:0:0:
199,192,12938,1,0,0:0:0:0:
142,192,13578,1,0,0:0:0:0:
369,192,13578,1,0,0:0:0:0:
486,192,13857,5,0,0:0:0:0:
25,192,13857,1,0,0:0:0:0:
384,192,13968,1,0,0:0:0:0:
128,192,13968,1,0,0:0:0:0:
435,192,14107,1,0,0:0:0:0:
76,192,14107,1,0,0:0:0:0:
332,192,14191,1,0,0:0:0:0:
179,192,14191,1,0,0:0:0:0:
76,192,14302,1,0,0:0:0:0:
435,192,14302,1,0,0:0:0:0:
486,192,14497,1,0,0:0:0:0:
25,192,14497,1,0,0:0:0:0:
281,192,14636,128,0,15082:0:0:0:0:
